A10	auto-estrada 10
RAVE	Rede de Alta Velocidade
RAVE	Rede de Alta Velocidade Ferroviária
Rave	rede ferroviária de alta velocidade
Rave	Rede Ferroviária de Alta Velocidade
RAVE	Rede Ferroviária de Alta Velocidade
Rave	Rede Ferroviária de Velocidade
RAVE	Rede Ferroviária de Velocidade
RAVE	Regime Aberto Virado para Exterior
RAVE	regime aberto virado para o exterior
RAVE	Regime Aberto Virado para o Exterior
RAVE	regime aberto voltado para o exterior
RAVE	Regime Aberto Voltado para o Exterior
Rave	responsável pelo desenvolvimento da alta velocidade em Portugal
Rave	responsável pelo projecto de alta velocidade em Portugal
RAVI	Regime Aberto Virado para o Interior
RAVI	regime aberto voltado para o interior
RAVI	Regime Aberto Voltado para o Interior
RBE	Rede de Bibliotecas Escolares
RBI	Rodoviária da Beira Interior
RBL	Rodoviária da Beira Litoral
RBS	Royal Bank of Scotland
RBS	Royal Bank of Scotland Group Plc
RCA	“Replacemente Cost Adjusted”
RCCI	Rede de Cuidados Continuados Integrados
RCC	Rede Comum de Conhecimento
RCC	Renovamento Carismático Católico
RCCS	Rede de Cuidados Continuados de Saúde
RCCTE	Regulamento das Características de Comportamento Técnico dos Edifícios
RCCTE	Regulamento das Características de Comportamento Térmico dos Edifícios
RCD	Reunião Congolesa para a Democracia
RCEP	Royal Commission on Environmental Pollution
RCE	Registo Clínico Electrónico
RCH	Rede Ciclável Hierarquizada
RCJ	Rede de Comunicações da Justiça
RCM	Resolução do Conselho de Ministros
RCM	Resumo das Características do Medicamento
RCP	“Rádio Clube Português”
RCP	Rádio Clube Português
RCP	Regulamento das Custas Processuais
RC	Renovação Comunista
RCTFP	Regime de Contrato de Trabalho da Função Pública
RCTFP	regime de contrato de trabalho em funções públicas
RCTFP	Regime de Contrato de Trabalho em Funções Públicas
RCTFP	regime do contrato de trabalho da função pública
RCTFP	Regime do Contrato de Trabalho em Funções Públicas
RCTS	Rede Ciência Tecnologia e Sociedade
RCV	reanimação cardiovascular
RDA	República Democrática Alemã
RDCongo	República Democrática do Congo
RDC	República Democrática do Congo
RDD	Região Demarcada do Douro
RDG	República Democrática do Congo
RDM	Regulamento de Disciplina Militar
RDP	Rádio Difusão de Portugal
RDP	Radiodifusão Portuguesa
RDP	Rádio Difusão Portuguesa
Real	Ribeira de Pena e Montalegre
REAPP	Rede Europeia Anti-Pobreza em Portugal
REA	regime específico de abastecimento
Rebat	Resíduos Sólidos Urbanos do Baixo Tâmega
Recape	Relatório de Conformidade Ambiental do Projecto de Execução
RECAPE	Relatório de Conformidade Ambiental do Projecto de Execução
Recer	revestimentos cerâmicos
RECRIA	Recuperação de Imóveis Arrendados
Rede	rede ferroviária da Refer
REDM	Rodoviária de Entre-Douro e Minho
REEE	resíduos de equipamentos eléctricos e electrónicos
REEE	resíduos eléctricos e electrónicos
REE	Rede Eléctrica de Espanha
REE	Rede Eléctrica espanhola
REE	Rede Eléctrica Espanhola
Refer	rede ferroviária
Refer	rede ferroviária nacional
Refer	rede Ferroviária Nacional
Refer	Rede Ferroviária Nacional
REFER	rede ferroviária nacional
REFER	Rede Ferroviária Nacional
REFER	Rede Ferroviária Nacional"
Refer	Rede Ferrroviária Nacional
Refer	Rede Nacional Ferroviária
Refi	refinanciamento
REFOR	Registo de Economistas Forenses
REF	Relatório de Estabilidade Financeira
Regional	regional
REI	Rede de Especialistas Imobiliários
REJIES	Regime Jurídico das Instituições do Ensino Superior
REM	Rede Ecológica Metropolitana
RENA	Representativa das Companhias Aéreas
Renctas	Rede Nacional de Combate ao Tráfico de Animais Silvestres
RENDAV	Registo Nacional de Diretivas Antecipadas de Vontade
RENNDA	registo nacional de não dadores
RENNDA	Registo Nacional de não Dadores
RENNDA	Registo Nacional de Não Dadores
REN	Rede Ecológica Nacional
REN	Rede Eléctrica nacional
REN	Rede Eléctrica Nacional
REN	Rede Eléctrica Nac ional
REN	Rede Eléctricas Nacionais
REN	Rede Energética Nacional
REN	Redes Eléctricas Nacionais
REN	Redes Energéticas Nacionais
REN	Redes Energéticas Nacional
REN	Reserva Ecológica Nacional
REN	restantes cotadas do sector energético
Rentev	"Registo Nacional de Testamento Vital
Reper	representação de Portugal junto da União Europeia
Reper	representação do Governo português em Bruxelas
Reper	Representação Permanente de Portugal em Bruxelas
Reper	Representação Permanente de Portugal junto da UE
Reper	representação permanente de Portugal junto da União Europeia
Reper	Representação Permanente de Portugal junto da União Europeia
REPER	Representação Permanente de Portugal nas Comunidades Europeias
Reper	representação permanente de Portugal na União Europeia
Reper	representação portuguesa junto da União Europeia
REP	Rede Europeia de Patrulhas Costeiras
re	resume-se à
RER	Rede expresso regionais
RER	Representante Especial da República
RERT	Regularização Tributária
RERT	"regularização tributária de elementos patrimoniais colocados no exterior"
RERT	regularização tributária de elementos patrimoniais colocados no exterior
re	Rússia pretende
Resapes	Rede de Serviços de Apoio Psicológico no Ensino Superior - Associação Profissional
RESAPES	Rede de Serviços de Apoio Psicológicos do Ensino Superior
Resíduos	resíduos
Respira	Respiratórias Crónicas
RevPar	relativos à actividade turística mostram que o rendimento médio por quarto
REV	Rede Europeia de Vidro
RFF	Rede Ferroviária Francesa
RFF	Rescue and Fire Fighting
RFJ	República Federal da Jugoslávia
RFM	Radio Futurs Médias
RGA	Região Geral de Alunos
RGA	reunião geral de alunos
RGA	reunião Geral de Alunos
RGA	Reunião Geral de Alunos
RGE	regulamento
RGEU	Regime Geral das Edificações Urbanas
RGEU	Regulamento Geral das Edificações Urbanas
RGGI	Regional Greenhouse Gas Initiative
RGICSF	Regime Geral das Instituições de Crédito e s Financeiras
RGIT	Regime Geral das Infracções Tributárias
RGIT	Regime Geral de Infracções Tributárias
RHLC	Regulamento da Habilitação Legal para Conduzir
RI15	Regimento de Infantaria 15
RI19	Regimento de Infantaria 19
RI 8	Regimento de Infantaria 8
RIAA	Recording Industry Association of America
RIA	Rede de Incêndios Armada
RIA	Reunião Inter-Associações
RIB	resíduos industriais banais
RIB	Resíduos Industriais Banais
RIC	Registo Individual de Condutor
RIC	Registo Individual de Condutores
Rics	Royal Institution Chartered Surveyors
RICS	Royal Institution of Chartered Surveyors
RiM	Research in Motion
RIM	Research in Motion
RIM	Research In Motion
Rio"	"Risk Immigration Operation"
RIP	resíduos industriais perigosos
RIP	Resíduos Industriais Perigosos
RI	Registo Inicial
RISE	Rede de Informação de Situações de Emergência
RIS	Rendimento de Inserção Social
RIV	Regiões de Informação de Voo
RIV	Renovação Integral da Via
RJACI	Regime Jurídico de Actividades da Construção e do Imobiliário
RJEIS	Regime Jurídico das Instituições de Ensino Superior
RJE	Rede Judiciária Europeia
RJIES	regime jurídico das instituições de ensino superior
RJIES	Regime Jurídico das Instituições de Ensino Superior
RJIES	regime jurídico das instituições do ensino superior
RJIES	Regime Jurídico das Instituições do Ensino Superior
RJIES	Regime Juríico das Instituições do Ensino Superior
RJOPA	Regime Jurídico das Obras em Prédios Arrendados
RL	República e Laicidade
RLVT	Região de Lisboa e Vale do Tejo
RMA	Rendimento Mínimo de Actividade
RMA	reprodução medicamente assistida
RMA	Reprodução Medicamente Assistida
RMEU	"Regulamento Municipal de Edificações e Urbanização"
RMF	Research on Money and Finance
RMG	rendimento mínimo garantido
RMG	Rendimento Mínimo Garantido
RMG	Rendimento Mínimo Garantido"
RMI	Rendimento Mínimo de Inserção
RMMG	Remuneração Mínima Mensal Garantida
RMMG	“retribuição mínima mensal garantida”
RMMG	Retribuição Mínima Mensal Garantida
RM	Rendimento Mínimo Garantido
RM	ressonância magnética
RMS	Risk Management Solutions
RMUEL	Regulamento Municipal de Urbanização e Edificação de Lisboa
RNAi	RNA de interferência
RNA	Rádio Nacional de Angola
RNA	Rede Nacional de Apoio
RNAU	Regime Novo de Arrendamento Urbano
RNB	rendimento nacional bruto
RNB	Rendimento Nacional Bruto
RNCCI	Rede Nacional de Cuidados Continuados Integrados
RNCC	Rede Nacional de Cuidados Continuados
RNEPS	Rede Nacional de Escolas Promotoras de Saúde
RNEPS	Rede Nacional de Promoção da Saúde
RNE	Rádio Nacional de Espanha
RNE	rádio nacional espanhola
RNE	Rede Nacional de Expressos
RNES	Reserva Natural do Estuário do Sado
RNET	Reserva Natural do Estuário do Tejo
RNG	rede de nova geração
RNG	Rede de Nova Geração
RNG	redes de comunicações de nova geração
RNG	redes de nova geração
RNG	Redes de Nova Geração
RNLP	Rede Nacional de Leitura Pública
RNLSAS	Reserva Natural das Lagoas de Santo André e da Sancha
RNPC	Registo Nacional de Pessoas Colectivas
RNP	Rede Nacional de Ensino e Pesquisa
RN	Rodoviária nacional
RNSM	Reserva Natural da Serra da Malcata
RNT	Rede Nacional de Telecomunicações
RNTV	Registo Nacional do Testamento Vital
RNU	Registo Nacional de Utente
ROADS	Rede de Observação e Análise da Desertificação e da Seca
ROA	rendibilidade do activo
ROA	rendibilidade do activo médio
ROA	rendibilidade líquida do activo
ROC	ex-revisor oficial de contas
ROC	ex-Revisor Oficial de Contas
ROC	Rassemblement des Opposants à la Chasse
ROC	revisores oficiais de contas
ROC	Revisores Oficiais de Contas
ROC	revisor oficial de contas
ROC	Revisor Oficial de Contas
ROCs	revisores oficiais de contas
Rodoviária	rodoviária e fiscalizar o cumprimento das disposições legais sobre trânsito e segurança
ROE	rendimento de capitais próprios
ROE	“return on equity”
ROI	retorno do investimento
ROM	Reserva Ornitológica do Mindelo
ROPME	regional para a protecção do ambiente marinho
ROPO	Relatório de Orientação da Política Orçamental
Roreno	Registo Oncológico Regional do Norte
ROR-Sul	Registo Oncológico da Região Sul
ROR-Sul	Registo Oncológico Regional do Sul
ROR-Sul	Registo Oncológico Regional -Sul
Rosas	resultados da diminuição das listas de espera
Rossio	recebido pela Comissão de Comerciantes da Zona Envolvente
RPA	Rede Portuguesa de Aerobiologia
RPATIRM	Regulamento da Pesca Aplicável ao Troço Internacional do Rio Minho
RPA	www.rpaerobiologia.com
RPCR	Registo de Pessoas Colectivas Religiosas
RPM	Rede Portuguesa de Museus
RPP	Radioprogramas de Perú
RPR	Rassemblement Pour la Republique
RQSE	Regulamento da Qualidade do Serviço Eléctrico
RRAE	Regulamento dos Requisitos Acústicos dos Edifícios
RRE	remuneratório experimental
RRE	Remuneratório Experimental
RRE	remuneratórios experimentais
RRH	Referenciação Hospitalar
RRMI	Referenciação Materno-Infantil
RRNF	Rodoviária Nacional Futura
RR	Rádio Renascença
RSA	Rendimento Solidário Activo
RSBL	Regimento de Sapadores Bombeiros de Lisboa
RSBL	Regimento Sapadores de Bombeiros de Lisboa
RSB	Regimento de Sapadores Bombeiros
RSB	Regimento de Sapadores Bombeiros de Lisboa
RSB	Regimento de Sapadores de Bombeiros
RSB	Regimento de Saparadores Bombeiros
RSB	Regimento dos Sapadores Bombeiros
RSB	Regimento Sapadores Bombeiros
RSECE	Regulamento dos Sistemas Energéticos e de Climatização nos Edifícios
RSE	registo de saúde electrónico
RSF	Repórteres Sem Fronteiras
RSI	Relatório de Segurança Interna
RSI	rendimento social de inserção
RSI	Rendimento Social de Inserção
RSLVT	Região de Saúde de Lisboa e Vale do Tejo
RSN	Russo de Notícias
RSPB	Royal Society for the Protection of Birds
RSPCA	Royal Society For the Prevention Of Cruelty to Animals
RS	República Srpska
RSR	Rádio Suisse Romande
RSU	resíduos sólidos urbanos
RSU	Resíduos Sólidos Urbanos
RTAM	Região de Turismo do Alto Minho
RTAM	Região de Turismo do Alto-Minho
RTA	Região de Turismo do Algarve
RTCA	Região de Turismo Costa Azul
RTCN	República Turca de Chipre do Norte
RTC	Rádio Televisão Cabo-verdiana
RTC	"Rio Tinto a Concelho"
RTDP	Região de Turismo da Planície Dourada
RTE	Rede de Transporte de Electricidade
RTE	Região de Turismo de Évora
RTE-T	Redes Transeuropeias de Transporte
RTE-T	redes transeuropeias de transportes
RTE-T	Rede Transeuropeia de Transportes
RTF	Rich Text Format
RTL/F	Região de Turismo Leiria/Fátima
RTLF	Região de Turismo Leiria/Fátima
RTNA	Região de Turismo do Norte Alentejano
RT-PCR	reverse transcriptase - polymerase chain reaction
RTPD	Região de Turismo Planície Dourada
RTP-M	RTP-Madeira
RTP	Rádio e Televisão de Portugal
RTP	Rádio Televisão Portuguesa
RT	Regime de Transição
RT	Rodoviária do Tejo
RTR	Região de Turismo do Ribatejo
RTSE	Região de Turismo da Serra da Estrela
RTSM	Região de Turismo de São Mamede
RUF	Regulamento de Uso da Força
RUPEA	Rede de Universidades Portuguesas de Ensino Agrário
RUP	Regiões Ultraperiféricas
RVP	Rota do Vinho do Porto
RWE	Rheinisch-Westfälisches Elektrizitätswerk
S24	Saúde 24
SAAL	Serviço de Apoio Ambulatório Local
SAAR	Salvamento Marítimo
SAA	South African Airways
SABC	South African Broadcasting Corp
SAB	Sector Autónomo de Bissau
SAC	Serviço de Atendimento Complementar
Sado	Santiago do Cacém
Sado	serviços municipalizados de Setúbal
SAD	s Anónimas Desportivas
SAD	Serviços de Assistência na Doença
SAD	sociedade anónima desportiva
SAD	Sociedade Anónima desportiva
SAD	Sociedade Anónima Desportiva
SAD	sociedade desportiva
SAD	sociedades anónimas
SAD	sociedades anónimas desportivas
SAD	Sociedades Anónimas Desportivas
SAD	sua Anónima Desportiva
SAD	suspensão das acções da Anónima Desportiva
SADU	Serviço de Atendimento a Doentes Urgentes
SADU	Serviço de Atendimento de Doentes Urgentes
SAEI	Sistema de Apoio à Exploração e Informação
SaeR	Sociedade de Avaliação de Empresas e Risco
SAER	Sociedade de Avaliação de Empresas e Risco
SAER	Sociedade de Avaliação Estratégica e Risco
SAE	Sistema de Apoio à Exploração
SAG	Serviço de Atendimento da Gripe
SAG	Serviços de Atendimento à Gripe A
SAG	Serviços de Atendimento da Gripe
SAG	Serviços de Atendimento de Gripe A
SAG	Soluções Automóveis Globais
SAIC	Shangai Automotive Industry Corporatin
SAIC	Shanghai Automative Industry Corporation
SAIIA	Sul-Africano de Assuntos Internacionais
SAIP	s e Participações
SAI	Sala Itinerante
SAJE	Sistema de Apoio aos Jovens Empresários
SALE	Singapore Aircraft Leasing Enterprise
SAL	Semana Académica de Lisboa
Sal	Setúbal
SAL	Sistema Administrativo de Licenciamento
SAL	Sociedade de Aviacão Ligeira
SAL	Sociedade de Aviação Ligeira
S&amp;N	Scottish &amp; Newcastle
S&amp;P500	"Standard &amp; Poor4s 500"
S&amp;P	segundo uma estimativa preliminar hoje divulgada pela Standard and Poor's
S&amp;P	Smith &amp;Pedro
S&amp;P	Smith &amp; Pedro
S&amp;P	Standard &amp; Poor
S&amp;P	Standard &amp; Poors
S&amp;P	Standard &amp; Poor´s
S&amp;P	Standard &amp; Poor`s
S&amp;P	Standard &amp; Poor's
S&amp;P	Standard &amp; Poor’s
S&amp;P	Standard &amp; Poor"s
SAMP	Sociedade Artística e Musical dos Pousos
SAMP	Sociedade Artística Musical dos Pousos
SAM	Sociedade Ambiente e Manutenção
SAMS	Serviço Assistência Médico Social
SAMS	Serviço de Assistência Médico-Social
SAMS	Serviço de Assistência Médico-Social dos Sindicatos Bancários
SAMS	Serviços de Assistência Médico-Social
SANAS	semi-rígidas à Associação Madeirense para Socorro no Mar
Sanas	socorro a náufragos
SANAS	Socorro a Náufragos
Sanest	saneamento da Costa do Estoril
Sanest	Saneamento da Costa do Estoril
Sanfil	Santa Filomena
Santarém	supermercado Intermarché de Ourém
Santo	segundo maior accionista da operadora portuguesa
Santos	sociedade de concertos Sonata
SAPA	South African Press Association
SAP	serviço de atendimento permanente
SAP	Serviço de Atendimento Permanente
SAP	serviços de atendimento permanente
SAP	serviços de Atendimento Permanente
SAP	Serviços de Atendimento Permanente
SAP	Serviços de Atendimento Permanente"
SAP	Serviços de Atendimento Permanentes
SAP	Socialdemokratiska Arbetarpartiet
SARA	Sistema de Alerta e Resposta Apropriada
SAR	Serviço Aéreo de Resgate
SAR	Serviço Aéreo de Socorros
SAR	síndroma respiratória aguda
SAR	síndrome respiratória aguda
SARS	síndroma aguda respiratória
SARS	síndroma respiratória aguda
SARS	Síndrome Respiratória Aguda Severa
SASE	são entregues aos serviços de acção social
SA	síndrome de Asperger
SA	sociedade anónima
S.A.	Sociedade Anónima
SA	Sociedade Anónima
SA	sociedade anónimas
SA	sociedades anónimas
SA	Sociedades Anónimas
SA	sociedades anónimas de capitais
SAS	Scandinavian Airlines
SAS	Scandinavian Airlines System
SAS	Serviços de Acção Social
SAS	Special Air Service
SASUC	Serviços de Acção Social da Universidade de Coimbra
SA	Sucursal Financeira Exterior
SASU	Serviço de Apoio ao Serviço de Urgências
SASU	Situações de Urgência
SASU	Situações Urgentes
SATA	Serviço Açoreano de Transportes Aéreos
SATA	Serviço Açoriano de Transporte Aéreo
SATA	Serviço Açoriano de Transportes Aéreos
SATA	Serviço Aéreo de Transportes dos Açores
Sata	sido desviado para o Porto Santo
SATA	sua rota para a ilha do Porto Santo
Satco	será feito pela Alstom Transport Co
SATU	Sistema Automático de Transporte Urbano
Satu	sistema de transportes automático de Oeiras
SATU	sistema de transporte urbano de Oeiras
Saúde	saúde
Saúde	saúde aos hospitais
Saúde	saúde do que em 2006
Saúde	saúde e hospitais
SAV	“suporte avançado de vida”
SAV	Suporte Avançado de Vida
SBC	Sindicato dos Bancários do Centro
SBP	Sapadores Bombeiros do Porto
SBP	Sindicato dos Bombeiros Profissionais
SBP	Sociedade Bíblica de Portugal
SBP	Sociedade Bíblica Portuguesa
SBSI	Sindicato Bancário do Sul e Ilhas
SBSI	Sindicato dos Bancários do Sul e Ilhas
SBSI	Sindicato dos Trabalhadores Bancários do Sul e Ilhas
SBSI	Sindicatos dos Bancários Sul e Ilhas
SBT	Sistema Brasileiro de Televisão
SBV	suporte básico de vida
SBV	Suporte Básico de Vida
SBV	suporte básico de vida - 25
SCAC	Sindicato do Calçado de Aveiro e Coimbra
SCAI	Secretariado Coordenador das Associações de Imigrantes
SCA	Svenska Cellulosa
SCCA	Sistema de Qualidade Cinegética e Ambiental
SCCP	Sindicato Independente da Carreira de Chefes de Polícia
SCC	Sociedade Central de Cervejas e Bebidas
SCEAM	Simpósio das Conferências Episcopais de África e Madagáscar
SCE	Sistema de Certificação Energética
SCGP	Sindicato do Corpo da Guarda Prisional
SCGP	Sindicato do Corpo dos Guardas Prisionais
SCH	Santander Central Hispano
SCIAFE	Sistema de Controlo Interno da Administração Financeira do Estado
SCICAT	Secção Central de Investigação da Criminalidade de Alta Tecnologia
SCIF/SEF	Sindicato da Carreira de Investigação e Fiscalização do SEF
SCIFSEF	Sindicato da Carreira de Investigação e Fiscalização do SEF
SCIFSEF	Sindicato da Carreira de Investigação e Fiscalização do Serviço Estrangeiros e Fronteiras
SCIF	Sindicato da Carreira de Investigação e Fiscalização
SCIF	Sindicato de Carreira de Investigação e Fiscalização
SCI	síndrome do cólon irritável
SCITE	Secção de Investigação do Tráfico de Estupefacientes
SCMA	Santa Casa da Misericórdia de Alvorge
SCMFA	Santa Casa da Misericórdia de Ferreira do Alentejo
SCML	Santa Casa da Misericórdia de Lisboa
SCM	Santa Casa da Misericórdia
SCMS	Santa Casa da Misericórdia de Santarém
SCMS	Santa Casa da Misericórdia de Serpa
SCMS	Santa Casa da Misericórdia local
SCM	suplemento da condição militar
SCM	Suplemento de Condição Militar
SCN	Sindicato da Construção do Norte
SCOA	Sociedade Comercial Orey Antunes
Scoreco	seu cargo a co-incineração nas cimenteiras Cimpor e Secil
SCO	Sistema informático de Contra-Ordenações
SCOT	Sistema de Contra-Ordenações de Trânsito
SCPM	Serviço de Combate à Poluição da Marinha
SCP	Sporting Clube de Portugal
SC	"Sentido Común"
SC	Soares da Costa
SCS	Santacruzense
SCTS	Sindicato das Ciências e Tecnologias da Saúde
SCTS	Sindicato das Ciências e Tecnologias de Saúde
SCU	Sacra Corona Unita
SCUT	sem custo de utilização
Scut	sem custo para os utilizadores
SCUT	sem custo para os utilizadores
Scut	sem custo para o utilizador
SCUT	sem custo para o utilizador
SCUT	Sem Custo para o Utilizador
Scut	sem custo para o utilizar
Scut	sem custos
SCUT	sem custos
SCUT	sem custos para alguns utilizadores
Scut	sem custos para os utilizadores
SCUT	sem custos para os utilizadores
Scut	sem custos para o utente
SCUT	sem custos para o utente
SCUT	sem custos para o utilizado
Scut	sem custos para o utilizador
Scut	Sem Custos para o Utilizador
SCUT	"sem custos para o utilizador"
SCUT	sem custos para o utilizador
SCUT	Sem Custos para o Utilizador
SCUT	sem custos para o utilizados
Scut	sem custos para utilizador
SCUT	sobre cobrança de portagens em três autoestradas
SCUT	Social e de auto-estradas sem portagens
Scuts	sem custos para o utilizador
SCUTS	sem custos para o utilizador
SDB	Sonae Distribuição Brasil
SDC	Sair da Casca
SDD	Santos Design District
SDDS	'special data dissemination standard'
SDDS	“Special Data Dissemination Standard”
SDDS	Special Data Dissemination Standard
SDE	secretária da Defesa Económica do Brasil
SDE	secretaria de Direito Económico
SDE	Secretaria de Direito Económico
SDE	Secretaria de Direito Econômico
SDM	Sociedade de Desenvolvimento da Madeira
SDNM	Sociedade de Desenvolvimento do Norte da Madeira
SDPGL	Sindicato Democrático dos Professores da Grande Lisboa
SDs	sociedades de desenvolvimento
SEAAL	secretário de Estado Adjunto e da Administração Local
SEAA	Secretaria de Estado da Agricultura e Alimentação
SEAA	Secretaria de Estado da Agricultura e da Alimentação
SEAC 2011	Secção Eventual para Acompanhamento dos Censos 2011
SEAE	Secretaria de Estado da Administração Educativa
SEAE	Secretário de Estado Adjunto e da Educação
SEAE	Serviço Europeu de Acção Externa
SEAF	Secretaria de Estado dos Assuntos Fiscais
SEAL	Secretaria de Estado da Administração Local
SEAMAI	secretário de Estado adjunto do ministro da Administração Interna
SEA	Secretaria de Estado do Ambiente
SEASF	Sistema Europeu de Autoridades de Supervisão Financeira
SEA	Sociedade Europeia de Aquacultura
SEC 95	Sistema Europeu de Contas de 1995
seca	sobre catástrofes naturais
SECO	Secretaria Federal de Economia
Seco	suíço para a Economia
SECP	secretaria de Estado das Comunidades Portuguesas
SECP	Secretaria de Estado das Comunidades Portuguesas
SECP	secretário de Estado das Comunidades Portuguesas
SEC	secretário de Estado das Comunidades
SEC	Securities and Exchange Comission
SEC	Securities and Exchange Commission
SEC	Security Exchance Comission
SEC	ser investigada pela and Exchange Comission
SEC	sistema de contas comunitárias
SEC	site da and Exchange Commission
SEC	Sociedade de Explosivos Civis
SEC	Sociedade Espanhola de Cetáceos
SEC	Sociedade Europeia de Cardiologia
SEC	supervisão do mercado financeiro dos EUA
SEC	supervisora das bolsas norte-americanas
SEC	supervisora dos mercados financeiros nos EUA
SEC	supervisora norte americana dos mercados
SEC	supervisores da bolsa norte-americana
Sectad	Serviço Cooperativo de Extensão de Trás-os-Montes e Alto Douro
SEDAM	secretário de Estado da Defesa e Assuntos do Mar
Seda	sede em Barcelona
SEDA	Sociedade Ética de Defesa dos Animais
SEE	sector empresarial do estado
SEE	sector empresarial do Estado
SEE	Sector Empresarial do Estado
SEE	Sector rial do Estado
SEE	Setor rial do Estado
SEES	Sociedade Europeia do Ensino Superior
Sefin	Serviços e Produtos Financeiros
Sefin	Serviços Financeiros
SEF	Serviço de Estrangeiros e Fronteira
SEF	Serviço de Estrangeiros e Fronteiras
SEF	Serviço de Estrangeiros e Fronteiros
SEF	Serviço de Estrengeiros e Fronteiras
SEF	Serviço Estrangeiros e Fronteiras
SEF	Serviços de Estrangeiros e Fronteiras
SEF	Sindicato de Enfermeiros Portugueses
SEF	Sistema de Execução Fiscal
SEF	sistema de execuções fiscais
SEF	Sistema de Execuções Fiscais
SEF	Sociedade de Empreitadas Ferroviárias
SEGIB	Secretaria-Geral Ibero-americana
Seia	desenvolve-se nas imediações de Eirô
Seia	Senhora da Anunciação
Seia	Serra do Açor e Teixeira de Cima
SEIE	Shin-Etsu International Europe
SEIES	Sociedade de Estudos e Intervenção em Engenharia Social
SEIES	Sociedade de Estudos em Intervenção em Engenharia Social
SEIL	Sociedade Portuguesa de Estudo e Intervenção no Luto
SEIRUP	Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos de Portugal
SEI	"Setúbal Etnias e Imigração"
seis	Santo António dos Cavaleiros
seis	social-democrata mantém o número de vice-presidentes
SEJ	Secretaria de Estado da Juventude
SEMNE	Serviços Externos do Ministério dos Negócios Estrangeiros
SEM	Semana Europeia da Mobilidade
se	nadadores-salvadores
SENASA	Serviço Nacional de Sanidade e Qualidade Agro-alimentar
Seniat	Serviço Nacional Integrado de Administração Tributária e Alfandegária
SEN	Serviço Efectivo Normal
SEN	Siemens Enterprise Communications
SEN	Sindicato dos Enfermeiros do Norte
SEN	Sistema Eléctrico Nacional
SEO	Sociedade de Ornitologia Espanhola
SEO	Sociedade Espanhola de Ornitologia
Separ	Sociedade Espanhola de Pneumologia e Cirurgia Toráxica
SEPA	Secretariado Executivo Para o Ambiente
SEPA	"single euro payments área"
SEPA	Single European Payments Area
SEPA	sistema único de pagamentos na Zona Euro
SEPE	Serviço de Peregrinos
SEPLA	Sindicato Espanhol de Pilotos de Linhas Aéreas
SEPLA	Sindicato Espanhol dos Pilotos em Linha
SEPLEU	Sindicato dos Professores Licenciados pelas Escolas Superiores de Educação e Universidades
SEPNA-GNR	Serviço de Protecção da Natureza e do Ambiente da GNR
Sepna	Serviço da Protecção da Natureza e Ambiente
SEPNA	Serviço da Protecção da Natureza e do Ambiente
Sepna	Serviço de Protecção da Natureza
SEPNA	Serviço de Protecção da Natureza
Sepna	Serviço de Protecção da Natureza e Ambiente
SEPNA	Serviço de Protecção da Natureza e Ambiente
Sepna	Serviço de Protecção da Natureza e do Ambiente
SEPNA	Serviço de Protecção da Natureza e do Ambiente
SEPNA	Serviço de Protecção da Natureza e do Ambiente da GNR
SEPNA	Serviço Especial de Protecção da Natureza e Ambiente
SEPNA	Serviço Especializado na Protecção do Ambiente e Natureza
SEP	"Secretaria de Estado das Pescas
SEP	Serviço de Estatística de Preços
SEP	Sindicado dos Enfermeiros Portugueses
SEP	Sindicato dos Enfermeiros Portugueses
SEP	Sistema Eléctrico Português
SEP	Sistema Eléctrico Público
SERAM	Sindicato dos Enfermeiros da Região Autónoma da Madeira
Sergas	Servicio Galego de Saúde
Serpa	seguir para Pias
Serra	Social-Democracia Brasileira
SER	subsídio especial de renda
SE	Secção de Educação
SESF	Supervisão Financeira
SE	Sindicato dos Enfermeiros
SESI	Superior e Investigação
SES	secretário de Estado da Segurança
SES	Servicio Extremenho de Salud
sete	surgem à frente enquanto tema com mais medidas
SET	Semana de Estudos Teológicos
Setúbal	Setúbal"
SEU	Sociedade Europeia de Urologia
sexo oral	sexual por parte do arguido Carlos Silvino
Sexo	Sexual Dysfunction
SFAC	sociedades financeiras de aquisição de crédito
SFAC	Sociedades Financeiras de Aquisições a Crédito
SFA	serviços e fundos autónomos
SFA	Serviços e Fundos Autónomos
SFG	Stanford Financial Group
SFJ	Sindicato dos Funcionário Judiciais
SFJ	Sindicato dos Funcionários Judiciais
Sfor II	Sarajevo com o comandante da força multinacional da NATO no território
Sfor	Stabilization Force
SFOR	Stabilization Force
SFOR	substituir as forças da NATO na Bósnia
SFO	Serious Fraud Office
SFPN	Sindicato da Função Pública do Norte
SFPSA	Sindicato da Função Pública do Sul e Açores
SFP	Sindicato dos Funcionários Parlamentares
SFPZN	Sindicato da Função Pública da Zona Norte
SFRCI	Sindicato Ferroviário da Revisão Comercial Itinerante
SF	sobre a Fortuna
SFT	Serviço Fixo de Telefone
SGAE	Sociedade Geral de Autores Espanhóis
SGAL	Sociedade Gestora do Alto do Lumiar
SGA	Santander Gestão de Activos
SGA	Sociedade Gestora do Autódromo
SGB	síndroma de Guillain-Barré
SGHD	Sociedade Gestora do Hospital das Descobertas
SGIF	Sistema de Gestão de Informação de Incêndios Florestais
SGIF	Sistema de Gestão de Informação dos Incêndios Florestais
